Name,Win%,SOS,Pace,offRtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV,ORB,FT/FGA
Alabama,0.556,0.9056000000000001,0.5100000000000001,0.1432078559738134,0.41874999999999996,0.22569444444444442,0.16774193548387104,0.11867364746945894,0.18479880774962743,0.24812030075187969,0.5875706214689265,0.17796610169491534,0.2681818181818182,0.3556701030927835,0.4440894568690097
Arizona State,0.625,0.7424,0.6100000000000001,0.22995090016366607,0.40624999999999994,0.32638888888888884,0.20967741935483863,0.09598603839441536,0.2041728763040239,0.24812030075187969,0.3163841807909605,0.21016949152542383,0.04999999999999998,0.3170103092783505,0.5143769968051118
Arizona,0.771,0.7536,0.4299999999999997,0.24631751227495904,0.31666666666666665,0.16666666666666669,0.2451612903225806,0.21116928446771382,0.21907600596125193,0.1052631578947368,0.43502824858757067,0.2525423728813559,0.15454545454545457,0.4561855670103092,0.4440894568690097
Arkansas,0.657,0.8740000000000001,0.5649999999999998,0.21522094926350244,0.325,0.16666666666666669,0.19193548387096765,0.09424083769633505,0.17883755588673622,0.21804511278195485,0.536723163841808,0.21016949152542383,0.05909090909090904,0.33762886597938147,0.3610223642172524
Auburn,0.765,0.7716,0.6700000000000003,0.2127659574468085,0.37500000000000006,0.359375,0.1790322580645162,0.14310645724258295,0.22652757078986593,0.33082706766917286,0.615819209039548,0.15932203389830515,0.09999999999999996,0.422680412371134,0.5303514376996805
Bucknell,0.714,0.34159999999999996,0.6200000000000003,0.2029459901800327,0.43124999999999997,0.2899305555555556,0.20967741935483863,0.12739965095986033,0.21460506706408344,0.13533834586466165,0.34463276836158196,0.21186440677966112,0.14545454545454542,0.29381443298969073,0.5239616613418531
Buffalo,0.75,0.49,0.6950000000000003,0.22831423895253686,0.16666666666666666,0.31423611111111116,0.2032258064516128,0.13787085514834205,0.23994038748137114,0.20300751879699247,0.327683615819209,0.228813559322034,0.10909090909090911,0.4175257731958764,0.21086261980830673
Butler,0.6,0.902,0.4799999999999997,0.20949263502454987,0.08958333333333336,0.2586805555555556,0.1999999999999999,0.13612565445026173,0.1490312965722802,0.27067669172932335,0.22033898305084743,0.2135593220338984,0.09090909090909091,0.30412371134020616,0.19169329073482436
Cal State Fullerton,0.625,0.43920000000000003,0.4950000000000003,0.1407528641571195,0.4479166666666667,0.1145833333333333,0.1822580645161291,0.13263525305410126,0.18181818181818188,0.24060150375939848,0.24293785310734464,0.17288135593220347,0.2772727272727273,0.29639175257731964,0.5559105431309904
Cincinnati,0.861,0.6212,0.3049999999999997,0.21931260229132565,0.29583333333333334,0.22222222222222218,0.15645161290322585,0.21116928446771382,0.33532041728763046,0.3834586466165414,0.6497175141242938,0.1661016949152543,0.09999999999999996,0.5902061855670103,0.34185303514377
Clemson,0.714,0.85,0.375,0.18821603927986907,0.24375000000000005,0.30208333333333337,0.1935483870967741,0.14310645724258295,0.2026825633383011,0.1954887218045113,0.5084745762711864,0.19491525423728823,0.15454545454545457,0.29639175257731964,0.354632587859425
College of Charleston,0.765,0.34840000000000004,0.29500000000000026,0.20949263502454987,0.3104166666666667,0.265625,0.19516129032258056,0.10645724258289706,0.09388971684053658,0.15789473684210523,0.31073446327683624,0.19152542372881365,0.05909090909090904,0.2603092783505155,0.43130990415335474
Creighton,0.636,0.804,0.6399999999999999,0.2315875613747954,0.08541666666666668,0.39062500000000006,0.24677419354838706,0.13089005235602094,0.30402384500745155,0.15037593984962405,0.13559322033898308,0.27288135593220336,0.09090909090909091,0.1778350515463918,0.16613418530351443
Davidson,0.636,0.5828,0.26499999999999985,0.24713584288052376,0.05833333333333333,0.44965277777777785,0.25161290322580643,0.12739965095986033,0.34873323397913564,0.1052631578947368,0.10169491525423728,0.2711864406779661,0.054545454545454515,0.18041237113402067,0.17252396166134193
Duke,0.784,0.8684000000000001,0.5299999999999997,0.2708674304418985,0.2666666666666666,0.23958333333333331,0.22580645161290316,0.2094240837696335,0.29359165424739203,0.3609022556390977,0.4576271186440679,0.24576271186440693,0.12727272727272723,0.5979381443298969,0.3322683706070288
Florida State,0.657,0.82,0.6100000000000001,0.19639934533551553,0.31666666666666665,0.2482638888888889,0.18709677419354848,0.14485165794066313,0.21907600596125193,0.2781954887218045,0.5480225988700564,0.2000000000000001,0.1590909090909091,0.422680412371134,0.3642172523961662
